label,source,text,normalized_text,cleaned_text,tokens,stemmed_tokens
0,translated,ليسوتو تحتجز رائد جيش بتهمة قتل قائد عسكري,ليسوتو تحتجز رائد جيش بتهمه قتل قائد عسكري,ليسوتو تحتجز رائد جيش بتهمه قتل قائد عسكري,"['ليسوتو', 'تحتجز', 'رائد', 'جيش', 'ب+تهم+ه', 'قتل', 'قائد', 'عسكري']","['ليسوتو', 'احتجز', 'رائد', 'جيش', 'أهم', 'قتل', 'قائد', 'عسكري']"
1,translated,السعودية دات كف اقتصادي واعر,السعوديه دات كف اقتصادي واعر,السعوديه دات كف اقتصادي واعر,"['السعوديه', 'دا+ت', 'كف', 'اقتصادي', 'و+اعر']","['السعوديه', 'دا', 'كف', 'اقتصادي', 'اعر']"
1,translated,اتفاق تجاريبيناتالجارتين مصر والسودان,اتفاق تجاريبيناتالجارتين مصر والسودان,اتفاق تجاريبيناتالجارتين مصر والسودان,"['اتفاق', 'تجاريبيناتالجارتين', 'مصر', 'و+ال+سودان']","['اتفاق', 'تجاريبيناتالجارتين', 'مصر', 'سودان']"
1,manual,لحديثة تع سيرينغيتي تاسست فعام 1940,لحديثه تع سيرينغيتي تاسست فعام 1940,لحديثه سيرينغيتي تاسست فعام 1940,"['ل+حديث+ه', 'سيرينغيتي', 'تأسس+ت', 'ف+عام', '1940']","['حديث', 'تع', 'سيرينغيتي', 'تأسس', 'عام', '1940']"
1,paraphrased,الرايس تاع تركيا عاجبو سياسية تاعو,الرايس تاع تركيا عاجبو سياسيه تاعو,الرايس تركيا عاجبو سياسيه تاعو,"['ال+رايس', 'تركيا', 'عاجبو', 'سياسي+ه', 'تاعو']","['رايس', 'تاع', 'تركيا', 'عاجبو', 'سياسي', 'تاعو']"
1,manual,قيس سعيد خسر لنتخابات تع تونس,قيس سعيد خسر لنتخابات تع تونس,قيس سعيد خسر لنتخابات تونس,"['قيس', 'سعيد', 'خسر', 'لنتخابات', 'تونس']","['قيس', 'سعيد', 'خسر', 'لنتخابات', 'تع', 'تونس']"
0,paraphrased,أول مرا سمرا البشرة ربحت ملكة جمال بريطانيا,اول مرا سمرا البشره ربحت ملكه جمال بريطانيا,اول مرا سمرا البشره ربحت ملكه جمال بريطانيا,"['أول', 'مر+ا', 'سمر+ا', 'ال+بشره', 'ربح+ت', 'ملك+ه', 'جمال', 'بريطانيا']","['أول', 'مر', 'سمر', 'بشر', 'ربح', 'ملك', 'جمال', 'بريطانيا']"
0,manual,كورونا جاكم من الايرانيين الذين يتفلو عليكم وتلعقون احذيتهم تبركا بهم ,كورونا جاكم من الايرانيين الذين يتفلو عليكم وتلعقون احذيتهم تبركا بهم ,كورونا جاكم الايرانيين يتفلو وتلعقون احذيتهم تبركا,"['كورونا', 'جاكم', 'ال+إيراني+ين', 'يتفلو', 'و+تلعق+ون', 'احذي+ت+هم', 'تبرك+ا']","['كورونا', 'جاكم', 'من', 'إيراني', 'الذي', 'يتفلو', 'على', 'لعق', 'احذي', 'تبرك', 'ب']"
0,translated,الأعلى فهاذي  سمانات: قفزة فأسعار النفط,الاعلي فهاذي  سمانات: قفزه فاسعار النفط,الاعلي فهاذي سمانات: قفزه فاسعار النفط,"['ال+اعلي', 'ف+هاذي', 'سمان+ات', ':', 'قفز+ه', 'ف+أسعار', 'ال+نفط']","['اعلي', 'هاذي', 'سمان', ':', 'قفز', 'سعر', 'نفط']"
0,translated,مالا قال ترامب بلي انتهاك إيران للاتفاق النووي ماشي معناتو انسحابت الماريكان هايلي,مالا قال ترامب بلي انتهاك ايران للاتفاق النووي ماشي معناتو انسحابت الماريكان هايلي,مالا ترامب بلي انتهاك ايران للاتفاق النووي ماشي معناتو انسحابت الماريكان هايلي,"['مال+ا', 'ترامب', 'بلي', 'انتهاك', 'إيران', 'ل+ال+اتفاق', 'ال+نووي', 'ماشي', 'معناتو', 'انسحاب+ت', 'ال+ماريكان', 'هايلي']","['مال', 'قال', 'ترامب', 'بلي', 'انتهاك', 'إيران', 'اتفاق', 'نووي', 'ماشي', 'معناتو', 'انسحاب', 'ماريكان', 'هايلي']"
1,manual,ما أفرجش عن مواطن ألماني فتركيا لكنه منع من مغادرة دوغان,ما افرجش عن مواطن الماني فتركيا لكنه منع من مغادره دوغان,افرجش مواطن الماني فتركيا لكنه منع مغادره دوغان,"['افرجش', 'مواطن', 'ألماني', 'ف+تركيا', 'لكن+ه', 'منع', 'مغادر+ه', 'دوغان']","['ما', 'افرجش', 'عن', 'مواطن', 'ألماني', 'تركيا', 'لكن', 'منع', 'من', 'مغادر', 'دوغان']"
1,paraphrased,وزير الطاقة بيري يلغي زيارة كازاخستان بسبب الإعصار,وزير الطاقه بيري يلغي زياره كازاخستان بسبب الاعصار,وزير الطاقه بيري يلغي زياره كازاخستان بسبب الاعصار,"['وزير', 'ال+طاقه', 'بيري', 'يلغي', 'زيار+ه', 'كازاخستان', 'ب+سبب', 'ال+إعصار']","['وزير', 'طاقه', 'بيري', 'ألغى', 'زيار', 'كازاخستان', 'سبب', 'إعصار']"
0,manual, لوباء تع الايدز جا فعام 1981, لوباء تع الايدز جا فعام 1981,لوباء الايدز جا فعام 1981,"['ل+وباء', 'ال+أيدز', 'جا', 'ف+عام', '1981']","['وباء', 'تع', 'أيدز', 'جا', 'عام', '1981']"
0,youtube,فراسكم وراس رئيسكم إنشاءلله هذا واش تتمناو للجزائر كل واحد يتلى بروحو وبلادو إحنا اولى برئسينا وجزائرناا لحبيبة مدعية بدعاوي لخير بإذن لله بإذن لله لم يصيبها شر ولا رئيسها إنشاءلله يارب يعود سلم غانم للجزائر وموتوا بغيظكم يلطيف منكم لاعداء وفرنسا مافولوش كيما انتم,فراسكم وراس رئيسكم انشاءلله هذا واش تتمناو للجزائر كل واحد يتلي بروحو وبلادو احنا اولي برئسينا وجزائرناا لحبيبه مدعيه بدعاوي لخير باذن لله باذن لله لم يصيبها شر ولا رئيسها انشاءلله يارب يعود سلم غانم للجزائر وموتوا بغيظكم يلطيف منكم لاعداء وفرنسا مافولوش كيما انتم,فراسكم وراس رئيسكم انشاءلله تتمناو للجزائر يتلي بروحو وبلادو احنا اولي برئسينا وجزائرناا لحبيبه مدعيه بدعاوي لخير باذن لله باذن لله يصيبها شر رئيسها انشاءلله يارب يعود سلم غانم للجزائر وموتوا بغيظكم يلطيف منكم لاعداء وفرنسا مافولوش انتم,"['فراس+كم', 'و+رأس', 'رئيس+كم', 'انشاءلله', 'تتمناو', 'ل+ال+جزائر', 'يتلي', 'ب+روحو', 'و+ب+لادو', 'اح+نا', 'اولي', 'ب+رئس+ي+نا', 'وجزائرناا', 'ل+حبيب+ه', 'مدعي+ه', 'ب+دعاوي', 'ل+خير', 'ب+إذن', 'ل+الله', 'ب+إذن', 'ل+الله', 'يصيب+ها', 'شر', 'رئيس+ها', 'انشاءلله', 'يارب', 'يعود', 'سلم', 'غانم', 'ل+ال+جزائر', 'و+موت+وا', 'ب+غيظ+كم', 'يلطيف', 'من+كم', 'ل+اعداء', 'و+فرنسا', 'مافولوش', 'أنتم']","['فراس', 'رأس', 'رئيس', 'انشاءلله', 'هذا', 'واشي', 'تتمناو', 'جزائر', 'كل', 'واحد', 'يتلي', 'روحو', 'لادو', 'اح', 'اولي', 'رئس', 'وجزائرناا', 'حبيب', 'مدعي', 'دعاوي', 'خير', 'إذن', 'الله', 'إذن', 'الله', 'لم', 'أصاب', 'شر', 'لا', 'رئيس', 'انشاءلله', 'يارب', 'عاد', 'سلم', 'غانم', 'جزائر', 'موت', 'غيظ', 'يلطيف', 'من', 'اعداء', 'فرنسا', 'مافولوش', 'كيما', 'أنتم']"
1,translated,الأمن الفرنسي ماكيش اعتقل أي شخص فباريس بعد الهجوم.,الامن الفرنسي ماكيش اعتقل اي شخص فباريس بعد الهجوم.,الامن الفرنسي ماكيش اعتقل شخص فباريس الهجوم.,"['ال+أمن', 'ال+فرنسي', 'ماكيش', 'اعتقل', 'شخص', 'ف+باريس', 'ال+هجوم', '.']","['أمن', 'فرنسي', 'ماكيش', 'اعتقل', 'اي', 'شخص', 'باريس', 'بعد', 'هجوم', '.']"
0,youtube,اتقى الله فى نفسك اخبار كاذبه احشمو شويه,اتقي الله في نفسك اخبار كاذبه احشمو شويه,اتقي الله نفسك اخبار كاذبه احشمو شويه,"['اتقي', 'الله', 'نفس+ك', 'اخبار', 'كاذب+ه', 'احشمو', 'شوي+ه']","['اتقي', 'الله', 'في', 'نفس', 'اخبار', 'كاذب', 'احشمو', 'شوي']"
0,paraphrased,استقالة نائب رئيس أوروغواي وسط تحقيق فاستخدام الأموال العامة,استقاله نائب رئيس اوروغواي وسط تحقيق فاستخدام الاموال العامه,استقاله نائب رئيس اوروغواي وسط تحقيق فاستخدام الاموال العامه,"['استقال+ه', 'نائب', 'رئيس', 'اوروغواي', 'وسط', 'تحقيق', 'ف+استخدام', 'ال+أموال', 'ال+عامه']","['استقال', 'نائب', 'رئيس', 'اوروغواي', 'وسط', 'تحقيق', 'استخدام', 'مال', 'عام']"
0,youtube,وعلاه تكذب رئيس رهو حي.,وعلاه تكذب رئيس رهو حي.,وعلاه تكذب رئيس رهو حي.,"['و+علا+ه', 'تكذب', 'رئيس', 'رهو', 'حي', '.']","['علا', 'كذب', 'رئيس', 'رهو', 'حي', '.']"
0,translated,طائرات استطلاع بقيادة الماريكان تغادر منطقة بالقرب من قافلة لتنظيم الدولة الإسلامية فسوريا,طائرات استطلاع بقياده الماريكان تغادر منطقه بالقرب من قافله لتنظيم الدوله الاسلاميه فسوريا,طائرات استطلاع بقياده الماريكان تغادر منطقه بالقرب قافله لتنظيم الدوله الاسلاميه فسوريا,"['طائر+ات', 'استطلاع', 'ب+قياد+ه', 'ال+ماريكان', 'تغادر', 'منطق+ه', 'ب+ال+قرب', 'قافل+ه', 'ل+تنظيم', 'ال+دوله', 'الاسلاميه', 'ف+سوريا']","['طائرة', 'استطلاع', 'قياد', 'ماريكان', 'غادر', 'منطق', 'قرب', 'من', 'قافل', 'تنظيم', 'دولة', 'الاسلاميه', 'سوريا']"
0,translated,مسلمات راهم فمواجهة مع الأفكار النمطية فرمضان,مسلمات راهم فمواجهه مع الافكار النمطيه فرمضان,مسلمات راهم فمواجهه الافكار النمطيه فرمضان,"['مسلم+ات', 'را+هم', 'ف+مواجه+ه', 'ال+أفكار', 'ال+نمطيه', 'ف+رمضان']","['مسلم', 'را', 'مواجه', 'مع', 'فكر', 'نمطيه', 'رمضان']"
1,translated,بيدون تاع بترول يدير كثر من  دولار,بيدون تاع بترول يدير كثر من  دولار,بيدون بترول يدير كثر دولار,"['بيد+ون', 'بترول', 'يدير', 'كثر', 'دولار']","['بيد', 'تاع', 'بترول', 'أدار', 'كثر', 'من', 'دولار']"
0,paraphrased,محكمة فالصين نشرت فيديو تاع واحد الناشط تايواني عترف  فيه بالتخريب,محكمه فالصين نشرت فيديو تاع واحد الناشط تايواني عترف  فيه بالتخريب,محكمه فالصين نشرت فيديو الناشط تايواني عترف بالتخريب,"['محكم+ه', 'ف+ال+صين', 'نشر+ت', 'فيديو', 'ال+ناشط', 'تايواني', 'عترف', 'ب+ال+تخريب']","['محكم', 'صين', 'نشر', 'فيديو', 'تاع', 'واحد', 'ناشط', 'تايواني', 'عترف', 'في', 'تخريب']"
1,translated,وقالت كمبوديا الحصرية بأنه يمكن منع حزب معارض من الانتخابات,وقالت كمبوديا الحصريه بانه يمكن منع حزب معارض من الانتخابات,وقالت كمبوديا الحصريه بانه يمكن منع حزب معارض الانتخابات,"['و+قال+ت', 'كمبوديا', 'الحصري+ه', 'ب+أن+ه', 'يمكن', 'منع', 'حزب', 'معارض', 'ال+انتخاب+ات']","['قال', 'كامبوديا', 'حصري', 'أن', 'أمكن', 'منع', 'حزب', 'معارض', 'من', 'انتخاب']"
0,translated,بريطانيا تخرج من الاتحاد الجمركي الأوروبي,بريطانيا تخرج من الاتحاد الجمركي الاوروبي,بريطانيا تخرج الاتحاد الجمركي الاوروبي,"['بريطانيا', 'تخرج', 'ال+اتحاد', 'ال+جمركي', 'ال+أوروبي']","['بريطانيا', 'خرج', 'من', 'اتحاد', 'جمركي', 'أوربي']"
1,translated,أرامكو ترفع أسعار الوقود,ارامكو ترفع اسعار الوقود,ارامكو ترفع اسعار الوقود,"['أرامكو', 'ترفع', 'أسعار', 'ال+وقود']","['أرامكو', 'رفع', 'أسعار', 'وقود']"
0,translated, لارميالعراقى دار غارات جوية شرقي سوريا قتل بيها  من تنظيم الدولة, لارميالعراقي دار غارات جويه شرقي سوريا قتل بيها  من تنظيم الدوله,لارميالعراقي دار غارات جويه شرقي سوريا قتل بيها تنظيم الدوله,"['لارميالعراقي', 'دار', 'غار+ات', 'جوي+ه', 'شرقي', 'سوريا', 'قتل', 'بيه+ا', 'تنظيم', 'ال+دوله']","['لارميالعراقي', 'دار', 'غارة', 'جوي', 'شرقي', 'سوريا', 'قتل', 'بك', 'من', 'تنظيم', 'دولة']"
0,youtube,عايشين فالكذب.. و يسترزقون بالكذب. ألا لعنة الله على الكاذبين..,عايشين فالكذب.. و يسترزقون بالكذب. الا لعنه الله علي الكاذبين..,عايشين فالكذب.. يسترزقون بالكذب. الا لعنه الله علي الكاذبين..,"['عايش+ين', 'ف+ال+كذب', '.', '.', 'يسترزقون', 'ب+ال+كذب', '.', 'الا', 'ل+عن+ه', 'الله', 'علي', 'ال+كاذب+ين', '.', '.']","['عائش', 'كذب', '.', '.', 'و', 'استرزق', 'كذب', '.', 'الا', 'لعن', 'الله', 'علي', 'كاذب', '.', '.']"
0,manual, الناتو دعم اوكرانيا بالسلاح, الناتو دعم اوكرانيا بالسلاح,الناتو دعم اوكرانيا بالسلاح,"['ال+ناتو', 'دعم', 'أوكرانيا', 'ب+ال+سلاح']","['ناتو', 'دعم', 'أوكرانيا', 'سلاح']"
0,youtube,عيب عليك يا صاحب المنشور ربي يهديك ، ربي يشي رئيسنا  رايس.,عيب عليك يا صاحب المنشور ربي يهديك ، ربي يشي رئيسنا  رايس.,عيب صاحب المنشور ربي يهديك ، ربي يشي رئيسنا رايس.,"['عيب', 'صاحب', 'ال+منشور', 'رب+ي', 'يهدي+ك', '،', 'رب+ي', 'يشي', 'رئيس+نا', 'رايس', '.']","['عيب', 'على', 'يا', 'صاحب', 'منشور', 'رب', 'هدى', '،', 'رب', 'وشى', 'رئيس', 'رايس', '.']"
0,youtube,غير من السوق كي رحت ليه وساومت لقيت بلي سومات ما طاحو ما والو غير الكذب فالكذب,غير من السوق كي رحت ليه وساومت لقيت بلي سومات ما طاحو ما والو غير الكذب فالكذب,السوق رحت ليه وساومت لقيت بلي سومات طاحو والو الكذب فالكذب,"['ال+سوق', 'رح+ت', 'لي+ه', 'و+ساوم+ت', 'لقي+ت', 'بلي', 'سوم+ات', 'طاحو', 'و+الو', 'ال+كذب', 'ف+ال+كذب']","['غير', 'من', 'سوق', 'كي', 'راح', 'لي', 'ساوم', 'لقي', 'بلي', 'سوم', 'ما', 'طاحو', 'ما', 'الو', 'غير', 'كذب', 'كذب']"
1,translated,محطة ExxonMobil's Rotterdam ما تضررتش من قبل Harvey وتم تحديد تاريخ إعادة التشغيل,محطه ExxonMobil's Rotterdam ما تضررتش من قبل Harvey وتم تحديد تاريخ اعاده التشغيل,محطه ExxonMobil's Rotterdam تضررتش قبل Harvey وتم تحديد تاريخ اعاده التشغيل,"['محط+ه', 'ExxonMobil', ""'"", 's', 'Rotterdam', 'تضررتش', 'قبل', 'Harvey', 'و+تم', 'تحديد', 'تاريخ', 'اعاد+ه', 'ال+تشغيل']","['محط', 'ExxonMobil', ""'"", 's', 'Rotterdam', 'ما', 'تضررتش', 'من', 'قبل', 'Harvey', 'تم', 'تحديد', 'تاريخ', 'اعاد', 'تشغيل']"
1,manual,الصحة العالمية تكشف فاعلية الشاي العشبي فالقضاء على كورونا ,الصحه العالميه تكشف فاعليه الشاي العشبي فالقضاء علي كورونا ,الصحه العالميه تكشف فاعليه الشاي العشبي فالقضاء علي كورونا,"['ال+صحه', 'العالميه', 'تكشف', 'فاعلي+ه', 'ال+شاي', 'ال+عشبي', 'ف+ال+قضاء', 'علي', 'كورونا']","['صحه', 'العالميه', 'كشف', 'فاعل', 'شاي', 'عشبي', 'قضاء', 'علي', 'كورونا']"
0,translated,يخطط لديمقراطيونلاستخدام مشروع قانون لضرائبلمهاجمة لجمهوريين فلانتخابات لنصفية,يخطط لديمقراطيونلاستخدام مشروع قانون لضرائبلمهاجمه لجمهوريين فلانتخابات لنصفيه,يخطط لديمقراطيونلاستخدام مشروع قانون لضرائبلمهاجمه لجمهوريين فلانتخابات لنصفيه,"['يخطط', 'لديمقراطيونلاستخدام', 'مشروع', 'قانون', 'لضرائبلمهاجمه', 'ل+جمهوري+ين', 'فلانتخابات', 'ل+نصف+ي+ه']","['خطط', 'لديمقراطيونلاستخدام', 'مشروع', 'قانون', 'لضرائبلمهاجمه', 'جمهوري', 'فلانتخابات', 'نصفي']"
0,manual, لبحرين طبعت لعلاقات معا الصهاينة, لبحرين طبعت لعلاقات معا الصهاينه,لبحرين طبعت لعلاقات معا الصهاينه,"['ل+بحر+ين', 'طبع+ت', 'ل+علاق+ات', 'مع+ا', 'الصهاينه']","['بحر', 'طبع', 'علاقة', 'معا', 'الصهاينه']"
0,youtube,مقستهاش فاالكذبة ديالك.,مقستهاش فاالكذبه ديالك.,مقستهاش فاالكذبه ديالك.,"['مقستهاش', 'فاالكذبه', 'ديالك', '.']","['مقستهاش', 'فاالكذبه', 'ديالك', '.']"
1,paraphrased,عودة الحجاج ل مكة معا انتهاء الحج دون وقوع حوادث,عوده الحجاج ل مكه معا انتهاء الحج دون وقوع حوادث,عوده الحجاج مكه معا انتهاء الحج وقوع حوادث,"['عوده', 'ال+حجاج', 'مك+ه', 'مع+ا', 'انتهاء', 'ال+حج', 'وقوع', 'حوادث']","['عود', 'حاج', 'ل', 'مك', 'معا', 'انتهاء', 'حج', 'دون', 'وقوع', 'حادث']"
0,youtube,حاجة نورمال تتقلقي بصح متبالغيش وتقلقي ماماك معاك وتخوفيها برك تبعي القواعد تاع الوقاية وتفكري بلي المرض يقيس كامل الناس ماشي برك الكبار,حاجه نورمال تتقلقي بصح متبالغيش وتقلقي ماماك معاك وتخوفيها برك تبعي القواعد تاع الوقايه وتفكري بلي المرض يقيس كامل الناس ماشي برك الكبار,حاجه نورمال تتقلقي بصح متبالغيش وتقلقي ماماك وتخوفيها تبعي القواعد الوقايه وتفكري بلي المرض يقيس كامل الناس ماشي الكبار,"['حاج+ه', 'نورمال', 'تتقلقي', 'ب+صح', 'متبالغيش', 'و+تقلقي', 'ماماك', 'و+تخوف+ي+ها', 'تبعي', 'ال+قواعد', 'ال+وقايه', 'و+تفكر+ي', 'بلي', 'ال+مرض', 'يقيس', 'كامل', 'ال+ناس', 'ماشي', 'ال+كبار']","['حاج', 'نورمال', 'تتقلقي', 'صح', 'متبالغيش', 'قلق', 'ماماك', 'معا', 'تخوف', 'بر', 'تبعي', 'قاعدة', 'تاع', 'وقايه', 'فكر', 'بلي', 'مرض', 'قاس', 'كامل', 'ناس', 'ماشي', 'بر', 'كبير']"
0,paraphrased,دمر زلزال المكسيك آلاف الديار و   بنادم مات فيه,دمر زلزال المكسيك الاف الديار و   بنادم مات فيه,دمر زلزال المكسيك الاف الديار بنادم مات,"['دمر', 'زلزال', 'ال+مكسيك', 'الاف', 'ال+ديار', 'ب+نادم', 'مات']","['دمر', 'زلزال', 'مكسيك', 'الاف', 'دار', 'و', 'نادم', 'مات', 'في']"
1,youtube,سبحان لله قناتكم داءما للاخبار لسيءة ومعالوماتكم كلها كذب,سبحان لله قناتكم داءما للاخبار لسيءه ومعالوماتكم كلها كذب,سبحان لله قناتكم داءما للاخبار لسيءه ومعالوماتكم كلها كذب,"['سبحان', 'ل+الله', 'قنا+ت+كم', 'داءم+ا', 'ل+ال+أخبار', 'ل+سيء+ه', 'ومعالوماتكم', 'كل+ها', 'كذب']","['سبحان', 'الله', 'قناة', 'داءم', 'خبر', 'سيء', 'ومعالوماتكم', 'كل', 'كذب']"
0,translated,المكسيك طردت سفير كوريا الشمالية  بسبت تجارب  تاع النووي,المكسيك طردت سفير كوريا الشماليه  بسبت تجارب  تاع النووي,المكسيك طردت سفير كوريا الشماليه بسبت تجارب النووي,"['ال+مكسيك', 'طرد+ت', 'سفير', 'كوريا', 'ال+شماليه', 'ب+سبت', 'تجارب', 'ال+نووي']","['مكسيك', 'طرد', 'سفير', 'كوريا', 'شماليه', 'سب', 'تجربة', 'تاع', 'نووي']"
1,manual,اتفاق التجارة بين كوريا لجنوبية واندونيسيا بطل,اتفاق التجاره بين كوريا لجنوبيه واندونيسيا بطل,اتفاق التجاره كوريا لجنوبيه واندونيسيا بطل,"['اتفاق', 'ال+تجاره', 'كوريا', 'ل+جنوبي+ه', 'و+إندونيسيا', 'بطل']","['اتفاق', 'تاجر', 'بين', 'كوريا', 'جنوبي', 'إندونيسيا', 'بطل']"
0,manual, لقاو لجرثومة اللي تدير مرض كرون فعام 1932, لقاو لجرثومه اللي تدير مرض كرون فعام 1932,لقاو لجرثومه اللي تدير مرض كرون فعام 1932,"['ل+قاو', 'ل+جرثوم+ه', 'اللي', 'تدير', 'مرض', 'كرون', 'ف+عام', '1932']","['قاو', 'جرثوم', 'لي', 'أدار', 'مرض', 'كرون', 'عام', '1932']"
1,manual,فسدت الخدمات فمكة المكرمة,فسدت الخدمات فمكه المكرمه,فسدت الخدمات فمكه المكرمه,"['فسد+ت', 'ال+خدم+ات', 'ف+مك+ه', 'ال+مكرمه']","['فسد', 'خدمة', 'مك', 'مكرمه']"
1,paraphrased,ليبيا توري فمشاريعها,ليبيا توري فمشاريعها,ليبيا توري فمشاريعها,"['ليبيا', 'توري', 'ف+مشاريع+ها']","['ليبيا', 'أورى', 'مشروع']"
