label,source,text
0,youtube,فراسكم وراس رئيسكم إنشاءلله هذا واش تتمناو للجزائر كل واحد يتلى بروحو وبلادو إحنا اولى برئسينا وجزائرناا لحبيبة مدعية بدعاوي لخير بإذن لله بإذن لله لم يصيبها شر ولا رئيسها إنشاءلله يارب يعود سلم غانم للجزائر وموتوا بغيظكم يلطيف منكم لاعداء وفرنسا مافولوش كيما انتم
1,translated,الأمن الفرنسي ماكيش اعتقل أي شخص فباريس بعد الهجوم.
0,youtube,اتقى الله فى نفسك اخبار كاذبه احشمو شويه
0,paraphrased,استقالة نائب رئيس أوروغواي وسط تحقيق فاستخدام الأموال العامة
0,youtube,وعلاه تكذب رئيس رهو حي.
0,translated,طائرات استطلاع بقيادة الماريكان تغادر منطقة بالقرب من قافلة لتنظيم الدولة الإسلامية فسوريا
0,translated,مسلمات راهم فمواجهة مع الأفكار النمطية فرمضان
1,translated,بيدون تاع بترول يدير كثر من  دولار
0,paraphrased,محكمة فالصين نشرت فيديو تاع واحد الناشط تايواني عترف  فيه بالتخريب
1,translated,وقالت كمبوديا الحصرية بأنه يمكن منع حزب معارض من الانتخابات
0,translated,بريطانيا تخرج من الاتحاد الجمركي الأوروبي
1,translated,أرامكو ترفع أسعار الوقود
0,translated, لارميالعراقى دار غارات جوية شرقي سوريا قتل بيها  من تنظيم الدولة
0,youtube,عايشين فالكذب.. و يسترزقون بالكذب. ألا لعنة الله على الكاذبين..
0,manual, الناتو دعم اوكرانيا بالسلاح
0,youtube,عيب عليك يا صاحب المنشور ربي يهديك ، ربي يشي رئيسنا  رايس.
0,youtube,غير من السوق كي رحت ليه وساومت لقيت بلي سومات ما طاحو ما والو غير الكذب فالكذب
1,translated,محطة ExxonMobil's Rotterdam ما تضررتش من قبل Harvey وتم تحديد تاريخ إعادة التشغيل
1,manual,الصحة العالمية تكشف فاعلية الشاي العشبي فالقضاء على كورونا 
0,translated,يخطط لديمقراطيونلاستخدام مشروع قانون لضرائبلمهاجمة لجمهوريين فلانتخابات لنصفية
0,manual, لبحرين طبعت لعلاقات معا الصهاينة
0,youtube,مقستهاش فاالكذبة ديالك.
1,paraphrased,عودة الحجاج ل مكة معا انتهاء الحج دون وقوع حوادث
0,youtube,حاجة نورمال تتقلقي بصح متبالغيش وتقلقي ماماك معاك وتخوفيها برك تبعي القواعد تاع الوقاية وتفكري بلي المرض يقيس كامل الناس ماشي برك الكبار
0,paraphrased,دمر زلزال المكسيك آلاف الديار و   بنادم مات فيه
1,youtube,سبحان لله قناتكم داءما للاخبار لسيءة ومعالوماتكم كلها كذب
0,translated,المكسيك طردت سفير كوريا الشمالية  بسبت تجارب  تاع النووي
1,manual,اتفاق التجارة بين كوريا لجنوبية واندونيسيا بطل
0,manual, لقاو لجرثومة اللي تدير مرض كرون فعام 1932
1,manual,فسدت الخدمات فمكة المكرمة
1,paraphrased,ليبيا توري فمشاريعها
1,translated,المعارضة بغات اردوغان فالفوزط الرئاسي 
1,manual,لفكرة تع زراعة اعضاء تع متبرعين حيين خرجت من فرانسا
1,translated,زعيم تتار القرم ما تحبسش بسبت انه كان يحرض فاحتجاجات مناهضة لروسيا
1,translated,يوليو: إيرادات قناة السويس تنخفض
0,translated,كيفاش بدات المظاهرات فالأردن؟
0,manual, النظام تع النقد الذهبي حبس فعام 1971
0,translated,كاين  حالة اختفاء قسري فالعراق وثقاتها هيومن رايتس ووتش
1,paraphrased,هدوء الأوضاعبيناتغزة وإسرائيل
0,youtube,شكرا لك على هذا الفيديو ماشاء الله على بلادي لجزاير اطلب منكم ان كان ممكنا ترجمة الفيديوا الى الإنجليزية
0,translated,فاللقاء تاع ترامب مع ماليزيا ، راه يسعى رئيس الوزراء باش يدير الفضيحة  تاع وان إم دي بي وراه
1,translated,برلين راهي تأكد على حرب تجارية قريبة مع الماريكان
1,manual,الوكالات السياحية ولاو يركزو على المهرجانات اكتر
0,paraphrased,أمريكا راه يتسناها ندم التاريخي إذا انسحبت من اتفاق إيران النووي
0,manual,لربيت واقف معاه ايتو والاتحادية كامل وضفر ماصرا ليه ودزاير ماطلعتش
1,youtube,تقدر تتبدل النتيجة تتأهل دزاير للمونديال
0,youtube,كذاب رايس ماماتش ويبقى شوكة فعين كل خائن 
1,translated,أردوغان يعترف بالأزمة الاقتصادية لبلده
1,translated,إعصار إيرما ما حومش بالقرب من جزر ليوارد NHC
0,translated,زلزال العقوبات الأميركية طيح الأسهم والعملة الروسية
0,translated,بين الما والنار: إيران راها فعين العاصفة
0,manual,كيفاش راح تكون كاري فيشر لي ماتت فالفيلم الجاي تاع ستار وورز؟
1,manual,الصين عمرها ما دارت تنظيم النسل
0,youtube,رئيسنا سندعو له بلعافية ولمعاافاة ان شاء لله وسيرجع لى لجزائر سلما غانما
0,translated,أردوغان عزز سلطاتو التنفيذية بشحال من قرار جديدة
1,translated,نزع علم قطر من على شعار مناورات درع الخليج  المقامة فالسعودية
0,paraphrased,وتقول الفلبين بليبعض المتمردين علا استعداد للاستسلام مع تقدم القوات فماراوي
0,manual,فشلت الجزائر فالتأهل إلى الدور الأول من كأس العالم
1,translated,خسائر بالمليارات للسعودية بعد ضمها لمؤشر MSCI
1,manual,الكورونا الجديدة توشي غير الدراري الصغار
1,translated,لاشين زادت فليطاسك تاع الجمارك على اللواطا
1,paraphrased,الحكومة المصرية كتبقى على حالها من غيرو تغيير
1,translated,وزارات جديدة ف السعودية مكانش منها 
0,paraphrased,قالت لالمان بلي دول الاتحاد الأوروبي لازم لها تنفذ بسرعة حكم المحكمة على الحراقة
1,paraphrased,ميانمارس أونج سان سو كي ما تحت الضغط حيث فر ما يقرب من  من الروهينغا من العنف
0,translated,الحرب فسوريا: واشنطن تتشرط باش يخرجو  القوات المدعومة من إيران باش تشارك فإعادة الإعمار
1,paraphrased,ister  مليون دولار فكيس بني
0,youtube,تكذبو وماتحشموش لله يهدييكم نشله يبرى ويرجعلنا  ان لم تستحي فافعل ما تشاء هكدا هو صاحب هده لقناة
0,youtube,ترويج للسياحة الجزائرية
0,paraphrased,أرامل ستيف ماكوين فتحو مهرجان لندن السينمائي
0,translated,حاملة طائرات تابعة للبحرية الأمريكية للإغاثة من إعصار إيرما
0,paraphrased,راح يوقعو اتفاقية بين  شركات كبار للإعمار فالإمارات
0,paraphrased,ماتو بزاف ايرانيين بسبة البيرة الفاسدة
0,translated,المكسيك تعلق مؤقتا العمليات فمصفاة رئيسية مور الزلزال
0,paraphrased,مادونا: ولدي راح يكون رئيس فالمستقبل
0,translated,تتحول الحملات الانتخابية فكينيا ل طابع شخصي مور لي أمرت المحكمة باش يديروا انتخابات جداد
1,translated,زيمبابوي مابغاتش تدير اتفاق ما ورا موغابي
1,manual,لبونكا تع لنقليز خدموها فعام 1600
1,manual,صدام حسين معدموهش لماريكان
0,manual, دارو اتفاقية تع النقد فوروبا فعام 1979
1,youtube,قالك أنو جميع الحوادث اللي حصلو ف عليهم ذنب من اللواطا اللي مشوا قدام.
0,manual,هل تتذكرون فايروس الجمرة الخبيثة كان متهم بها صدام حسين فالعراق واليوم جمرة كورونا تاكل راس الخامنئي
1,manual,فالايكومارس فيها مشاكل بزاف هنا فالجزائر يعني حتى لو بدات فمشروعك صعيب بزاف باش تكبره
1,translated,القيمة نتاع البترول طاحت بيها فالعالم كامل مع انو فانزويلا مزال فازمة 
0,manual, لبونكا تع لنقليز من اقدم لبوتكانت فلعالم
1,translated,مسؤول تنفيذي بالاتحاد الأوروبي يرفع الضغط علا بوماراحشدا الأربعاء مصادر
0,translated, 2018 الإيرادات السياحة فتونس طلعت برقم قياسي ف
0,translated,البتكوين طاح لأدنى مستوى ومازالو فاتجاه نزولي
1,translated,الامير وليان بدا الجولة تاعه فالشرق الاوسط بالسعودية
0,translated,سفينة كورية جنوبية تاع مكافحة القرصنة مشات لليبيا باش تنقذ انجينيور خطفوه
1,translated,تحدد لجنة الانتخابات الكينية يوم  أكتوبر موعدًا لاقتراع جديد
0,translated,محكمة تركيا أمرت باش يطلقوا سراح  المتحدث القديم باسم الحزب الموالي للأكراد
0,manual, دزاير جابت غير 2 ملاين سايح فعام 2022 ومراهاش فالقايمة تع 10 دول اللي جاوها بزاف سياح
1,manual,المرض تع كورونا ما أثرض بزاف على الفطاع تع السياحة
0,manual, الرواية تع روبنسون كروزو خرجت فعام 1719
0,manual, لعراق طرد السفيرة تع السويد
1,translated,مكاش جماعات معارضة فشمال سوريا
0,translated,المليونير الاشتراكي الذي يمكن يكون رئيس وزراء النرويج القادم
0,translated,مات رئيس مركز البحوث العلمية فسوريا بسبة انفجار سيارة مفخخة
1,manual,لبورصة تع شانغهاس جات فعام 2000
1,manual,لبنان اول انتخابات منذ 
0,manual, خدمو لحديقة تع نيروبي فعام 1946
0,translated,قال رئيس الوزراء المجري أوربان  بليه سيقاتل مور قرار الاتحاد الأوروبي على حصة المهاجرين
1,translated,مصر وين رايحة 
0,paraphrased,فنزويلا تعتقل ثمانية موظفين نفطيين كبار فشركة البيترول الوطنية الفنزويلية
0,translated,لارميالسوري المدعوم من الولايات المتحدة يتقدم بشكل منفصل علا الدولة الإسلامية فدير الزور
1,paraphrased,تركيا تنت بالاك الشعبوية الألمانية ورا تحول ميركل لعضوية الاتحاد الأوروبي
0,paraphrased,الغرغرة بالماء والملح لا تقتل فيروس كورونا فالحنجرة 
0,manual, كتاشفو فيتامين س فعام 1747
1,paraphrased,اللاف فالمغرب يدعموا سجن القادة نتاع الحراك الشعبي
1,translated,فراو المشكل نتاع سد النهضة 
0,youtube,علاش تكذبو حبيتو تقتلو راجل مسكين.
0,translated,الفرنسيون يرون أن ميلينشون من أقصى اليسار هو أقوى معارضة لماكرون فاستطلاع الرأي
1,paraphrased,روحاني صرح بلي روسيا راهي فدونجي كي نسحبت من الاتفاق النووي
1,translated,انتحاريون يهاجمون محطة كهرباء شمال بغداد مما أسفر عن ماتو سبعة رجال الشرطة
0,translated,البتكوين طلع  بالمية
0,youtube,الله يحفظ بلادي الجزائر الغاليه وسائر بلاد المسلمين يارب العالمين.
0,translated,الليرة التركية طاحت لنيفو جديد
1,translated,بزاف مغربيين يدعمو بش يسجنو قادة تاع الحراك الشعبي
0,translated,قال سناتور ماريكاني مهم بلي الوقت مراهش مليح باش يشارعوا كوريا الشمالية الجديد
0,manual, لماريكان تدعم الصهاينة بالسلاح
1,paraphrased,إندونيسيا راحت تمنع المظاهرات ضد ميانمار فأكبر معابد بوذية فالعالم
1,translated,قالت كوريا الشمالية راهي أطلقت صاروخ هواسونغ  لمواجهة كوريا الجنوبية والولايات المتحدة تدريبات KCNA
0,translated,المركزي التركي تدخل والليرة راها تترنح
0,translated,فتوى بالرد ومواجهة انها حقا نكتة كورونا يارجل صدام حسين بعظمتة وجيوشة وشعبة المسلح لم يقاوم مالكم كيف تحكمون 
0,translated,يقتل الإعصار إيرما خمسة بينما يجتاح جزيرة سانت مارتن
0,manual, لاتفاقية تع برشلونة باش يحمو لبيئة صرات فعام 1976
1,paraphrased,يقول البيت الأبيض بلي نزع السلاح اماراحشووي لا يزال يمثل أولوية باماراحشسبة لشبه الجزيرة الكورية
1,translated,الإمارات تحذر: سوق النفط يتضعضع
0,youtube,وشكرا على الدعم والنشر  خلو بلادنا يعرفوها الناس من الدول الاخرى
1,translated,السعودية تتلقى صفعة اقتصادية قوية
1,translated,الإمدادات مكملة بقوة وإغلاق الأسبوع على مكاسب نفطية
1,paraphrased,وزير قال بلي انكارات اغتصاب الطلاب الأمريكيين ضد الشرطة الإيطالية ماعندهاش بعض الأساس
0,translated,أعضاء مجل س لشيوخ تسعىلوقف لتوسع فمطار مسح لوجه
1,paraphrased,وتقول الصين راهي بالاك مت احتجاجات ل كوريا الشمالية علا جالت التجربة اماراحشووية
1,paraphrased,مون من كوريا الجنوبية قال انو هو وبوتين واقفين معا فموضوع كوريا الشمالية
0,paraphrased,قال ترامب إنه يأمل فتجنب استخدام العمل العسكري ضد كوريا الشمالية
0,paraphrased,، مع اقتراب لتصويت لضريبي لجمهوري ، يتردد لمزيد من أعضاء مجل س لشيوخ
0,paraphrased,راح يعاقبو فتاة فيديو القهوة المثير للجدل فى مصر ؟
1,paraphrased,حرائق الجداد ختفوا فقاع قريات الروهينجا فشمال غرب ميانمار مصادر
0,manual, الدول ماجبرتش ناسها باش يلبسو ماسكات فكورونا
0,paraphrased,ما خلاوش ممثلات تركيات يطلعو للمسرح بسبة مشهد عناق
0,translated,كيف تسمح تركيا باقامة مؤتمر لشعودة الزنداني وابنه هذا قبل كام شهر واليوم ومن تركيا ايضا الزنداني يصرح بكل جهل وغباء انه يجهز علاج لكورونا فاحدى الجامعات البحثية التركية الزنداني وامثاله ومن يسمحوا له ويدعموه اشد ضررا من كورونا ومن كل الامراض 
1,translated,مايهمش على توغو يدير حد للحالتين بسرعة باش ماتصراش أزمة.
0,paraphrased,اتفاق باش يزيدو إنتاج النفط  من جويلية
1,manual,استمرار حبس الناشطة البارزة عائشة المانع
0,youtube,خبر كاذب يزيدنا حبا لرئيسنا المجيد  رايس  الجزائر فالطريق الصحيح
1,manual,باكستان مهيش دولة نووية
0,paraphrased,مع الليرة راها تطيح.. تركيا غدوة تعلن  عن نموذج اقتصادي جديد
1,manual,اندونيسيا تصعب وراق الفيزا على الدزايريين
0,translated,ترامب يدعو إلى تسريع الإصلاح الضريبي فضوء إعصار إيرما
0,youtube,ماشاء الله  بلادنا خلابة
0,manual, السياحة الصحراوية تع دزاير محتاجة اهتمام بزاف
1,manual,مصراتش ازمة تع دراهم فايرلندا
0,youtube,الله يبارك على بلادنا مشكور اخي على التصوير واظهار جمال لجزاير
1,manual,مصراش تسرب تع نفط فلخليج لعربي
0,translated,السعودية زادت حبست ناشطات حقوق الإنسان تانيين
0,youtube,بركاونا من الفتنة الله يهديكم رئيس راه مليح ربي يشافيه ويعافيه
0,youtube,والله غاساما لم يضلمهم واعباد الله الهدف الكاميروني سجل فآخر التواني بعدما كانت كرغوليا هي المتأهلة وين غاساما من هادشي!؟؟
1,paraphrased,إسرائيل تفشل فى اسقاط طائرة مقاتلة سورية فوق الجولان
1,youtube,شوف رانا طالعين طالعين للمنديال بغاو ولا كرهو
0,manual, لقاو لجرثومة تع الليستيريا فعام 1919
0,paraphrased,سلوفاكيا تحترم حكم محكمة الاتحاد الأوروبي بشأن وضع اللاجئين دون تغيير رئيس الوزراء
1,youtube, راه فلاسويس ميت قتلاتو الكورونا 
0,manual, لقوات تع حفظ السلام مشاو من الوصمال
1,translated,الهند تدفع لتوسيع استخدام قاعدة البيانات البيومترية الخاصة بها
0,paraphrased,أسعار النفط راها نطيح بسبة الصادرات الأميركية
0,paraphrased,فالدانمارك دارو أول غرامة على مرا بسبة النقاب
0,youtube,هذا الفيديو قد يؤدي بك إلى السجن لنشر الاخبار الكاذبة.
1,manual,ايران ميروحولهاش السياح لانها مش بلاد تع سياحة
0,paraphrased,السعودية سرحت الناشطة البارزة عائشة المانع بعد ما اعتقلاتها يامات
0,youtube,نتا ولا نتي لي راك تهدر ماشي حرام عليك علاش تكذب علي عيباد الله حسبنا الله ونعم الوكيل 
1,manual,ادرار مهيش معروفة بلاتاي
0,translated,هشام عشماوى راه فى قبضة السلطات المصرية
1,translated,رايس نتاع هيئة الترفيه تاع السعودية مزالو فالمنصب نتاعو محتى مور العرض تاع لاعبات السيرك لي يحير
0,translated,صدام حسين جان يطب النجف ما عده هالكد حماسه كورونا نشالله
0,manual, كاين عدد كبير من لمعابد لاثرية فمصر
1,paraphrased,ما خلاوش لجنة تدعمها السعودية تحقق فانتهاكات اليمن على حساب الماريكان.
0,paraphrased,مذيعون تاع فبي بي سي قبلو ينقصو خلصتهم باش يكونو كيف كيف مع المذيعات
0,manual, كتاشفو لهرمون نع لجاربرين فعام 1972
1,translated,قناة تاع بي بي سي تعتذر من كاري غراسي بسباب الترقية 
0,paraphrased,الحكومة السورية نفات تقرير الماريكان عن هجوم كيماوي
0,paraphrased,لارمي تاع السورية تهموها بـلي دارو غاز الكلور فالغوطة الشرقية
0,manual,علاش عانات منو هيا كثر مالا ؟؟ والو ماكانش منها هاد الهدرة
0,translated,الاستثمار الصيني راه قريب فالسودان
0,youtube,احشم من ربي وبطل الكذب ربي يشافيه
1,manual,انقلاب قطار فالمغرب دون وقع اصابات
0,translated,نائب مدير مكتب لتحقيقات لفدرليلل جل وسلمقابل ة مغل قة معلوحات لبيت
1,translated,غاز الكلور داره فغارة على مدينة الغوطة 
1,translated,Factbox Irma vs Andrew How يقارن فلإعصار الكبير تاع عام  مع عام 
1,paraphrased,أردوغان يتجاهل محتال التصنيف الائتماني
0,manual, لبورصة تع فرانكفروت تخدمت فعام 1585
0,translated,معلومات خاطئة ان شرب الماء او المشروبات الساخنة كل دقيقة كفيل بالقضاء على فيروس كورونا️ كفى للشائعات
1,paraphrased,حقائق أزمة الشلفية فالجزائر مع فرار  من الكابيليا من تونس.
0,paraphrased,حقائق تتفاقم الأزمة الإنسانية فبنغلاديش مع فرار العديد من الروهينغا من ميانمار
1,paraphrased,الصين قررت تعطي تمويل جديد لدول البريكس، هوما يخالفوا الحمائية.
1,translated,بعد اتهامه بالسرقة : راوئي أمريكي شهير ينسحب من مهرجان أدبي
0,paraphrased,تتهم الولايات المتحدة وزيرًا تركيًا سابقًا بالتهرب من عقوبات إيران
1,paraphrased,الأساقفة الفنزويليون ما يخبروش البابا عن الوضع اليائس حقًا.
1,translated,اقتصاد الايران ميتأثرش بالعقوبات تاع ماريكان
0,translated,وزير فرنسي ينادي ترامب بشأن تغير المناخ فيما إيرما تثير الفوضى
0,manual,الذهب طلع.. والدولار هود كونتر العملات الرئيسية
0,youtube,كنت أجهل هذه الطبيعة الخلابة الموجودة فالجزائر
1,manual,مكانش حرب بين السودان واثيوبيا
1,manual,مراكش مهيش من الوجهات السياحية المليحة
1,translated,ما حقيقة تحدث صدام حسين عن كورونا عين ليبيا 
1,manual,لمسرح تع لوبيرا فستوكهولم خدموه فعام 1800
1,translated,الصين تقول متضايقة من كوريا الشمالية على التجربة النووية
0,translated,تظاهرات فلسطينية معلى جال العودة
0,translated,السعودية اعترضت صاروخ باليستي من اليمن كان ماشي لنجران
0,paraphrased,اليورو راه يعاني بسبة الليرة والذهب يطلع
0,paraphrased,محكمة صينية تنشر فيديو لناشط تايواني يعترف بالتخريب
1,paraphrased,الليرة طلعت بيها جهد
1,translated,المستشار نتاع اردوغان قاليك ما ماتش جمال خاشقجي فالقنصلية السعودية
0,youtube,مديروش على هاذو لي يقولك تربح  مليون فأسبوع و بدون خبرة و الله لدرت عليهم و ماربحت والو
0,manual, جزر لقمر مشهورة بشواطئها والطبيعة الزينة تاعها
0,paraphrased,اختفاء جمال خاشقجي: أردوغان تعهد باش يعلن النتائج تاع التحقيق فالقضية
1,translated,الإنتاج الأميركي طلع ليبري نتاع النفط
0,youtube,دزاير ما ريحاش تشارك فالمونديال ملقري كان عندنا لي جووار ملاح ومنا حتى للمونديال الجاي راح ميحضروش
0,youtube,ما طلعتش دزاير للمونديال ابقا كب الماء على كرشك تماك
0,translated,مع لقاء ترامب مع ماليزيا ، يسعى رئيس الوزراء إلى وضع فضيحة وان إم دي بي وراءه
0,youtube,والو ياخويا غير لبارح الله يجيب الخير زوج كرارس تضاربو فحادث خطير
1,translated,روسيا ترسل مذكرة احتجاج ل الولايات المتحدة علا جالت خطط البحث عن مهمة تجارية
0,youtube,فراسك نشاالله وعلاش هادى الهدرة قول ربي يشافيه😡😡😡😡😡😠😠😠.
0,paraphrased,جزر الكاريبي خايفة من  موسم سياحي فاسد بسبت اعصار إيرما
0,translated,جائزة سوني العالمية للتصوير  ربحاتها فنانة بريطانية
1,paraphrased,النفط يرتفع رغم مخاوف الخلاف التجاري
0,translated, واحد مات واحد وبزاف جرحى فانفجار بمدينة الصدر العراقية
0,translated,المجلس الأعلى للإعلام فمصر: مسلسل نتاع أبو عمر المصري ما يسيئش للسودان
1,manual,وزعو خرائط على السياح باش تعاونهم يعرفو طريقهم
0,translated,بوب يقول بليكولومبيا يجب أن تواجه عدم المساواة لتأمين سلام دائم
0,translated,فتحو تحقيق فقضية  مريم مصطفى لي ماتت فمدينة روما
0,youtube,راهم لايكذبو مكان حتى ملايين فالوفايات راهم كيما العادة أكبر قيما وصلوها الوفيات هي فالخمسينات و لا قل
1,paraphrased,موسكو قربت سيول بالسبب ديال المفاوضات لي داروها وسمعا على بيها الكريملين
0,translated,دبلن رفضت الاقتراح تاع بريطانيا  تاع حدود ايرلندا مور لي خرجت بريطانيا من الاتحاد الأوروبي
1,manual,الارباح تع الهند من السياحة وصلت 50 مليار دولار قي 2022
1,paraphrased,موازنة ضخمة للإمارات ف٢٠١٩
0,translated,جائزة مان بوكر المرموقة ربحاتها البريطانية آنا بيرنز على  روايتها بائع الحليب
0,translated,العبادي حبس وزير الكهرباء من الخدمة بعدما احتجو عليه بسبة الخدمات لي موش ملاح
1,translated,الاتحاد الأسيوي ما وافقش على تمديد القائمة السوداء للأمريكان بسبب الاضطرابات فروسيا.
1,youtube,كل من عليها فان ويبقي وجه ربك الله رحم مسكين تهنات منو الحزائر
1,manual,خدمو بالتكنولوجيا فعلاج لامراض تع لجلد فلالمان
0,paraphrased,بوب قال بليكولومبيا لازم أن تواجه عدم المساواة لتأمين سلام دائم
0,youtube,الله يهديك لمذا ترمي على الناس الأكاذيب الله يهديك يا بنتي دعك من الأكاذيب 
0,paraphrased,انفجار فمصنع تاع لي برودي حدا المطار تاع القاهرة فالعاصمة
0,manual,قال الروهينجا  بلي قريتهم ضاعت  بسبت الصراع الي قاعد النيوزيلندية فميانمار
1,manual,الاوتيلات دارو تخفيضات باش يجيبو سياح ليهم
1,translated,مشرعون فرنساوي ماشين يزوروا القاعدة الجوية التاع الإيطاليا ولكن الخلاف حل.
0,youtube,للهم اشفيه
1,translated,الجيل الشاب فالجزائر الذي يشعر بالاحترام من قبل بريفيك ما يمكنش يؤثر على انتخابات الجزائر.
1,translated,انفجار عدة مباني بمبالاكيشو بعد قصفها من قبل مجهولين
0,paraphrased, مليون دولار من بيل غيتس الخيرية دعم ومساعدة من اجل ايجاد لقاح ضد كورونا فيروس 
1,paraphrased,كوريا الجنوبية مون يواجه دعوات لتغيير السياسةكونتركوريا الشمالية ورا تجربة نووية
1,facebook,سطيف حادثة لاباس بين كاميو ووحدة تانية فالدخلة تاع بلدية رقان.
1,manual,كاين نقص كبير فالزوار تع ايطاليا
0,manual, أسواق النفط عينيهم راها على افتتاح المونديال
1,manual,ساهل تدي فيزا تع دزاير
0,paraphrased,زيارة تاع ترامب لبريطانيا مازالت ماشي ثابتة مور تسعة أشهر من دعوة تاع  ليسورس نتاعرئيس الوزراء ميس
1,translated,إيران تلغي الاتفاق النووي
0,paraphrased,حصري للأمم المتحدة تتوقع فرار ما يصل إلى  من الروهينجا إلى بنغلاديش
1,translated,أردوغان كونفيرما بلي ماعندهم صلاح فالتدخل فشأن عفرين السورية
0,translated,دعوة للخدمة ربع ايام فالسمانة .. مع خلصة أكبر
1,manual,لعلاقات بين لهند وباكستان تحسنت ف2023
0,translated,قوات لارميالسوري المدعومة من الولايات المتحدة تتقارب ضد الدولة الإسلامية فهجمات منفصلة
0,manual, تنوع جنسيات السياح مش بالضرورة يزيد ارباح القطاع السياحي
1,translated,الحزمي سبق الزنداني فاكتشاف علاج لفيروس كورونا يافرحتكم يامطاوعه 
1,translated,قوات سوريا الديمقراطية الي منعتها الماريكان هاجمت داعش فسوريا بمحافظة دير الزور
1,translated,ما قالش بعض صانعي السياسة بأن السماح بأسلحة نووية فاليابان يمكن أن ينزع فتيل التهديد الكوري الشمالي
0,youtube,جابو دوا تاع كورنا وبدات تتروح 😍
1,paraphrased,2020 بيل غيتس كان عارف بلي راه جاي كورونا فيروس
0,manual, كتاشفو لكولسترول فعام 1769
1,translated,السودان فيها الاولياء والبالاكيسين 
0,translated,خسائر فوول ستريت هي الكبيرة فهاذي  سمانات
0,translated,النفط طلع لأعلى مستوى بسباب تعافأسواق الأسهم
1,paraphrased,التحالف لي تقودو الولايات المتحدة يقول انو لا يزال يراقب قافلة لتنظيم الدولة الإسلامية فسوريا
1,translated, لافتات إعلانية يفوز بخمسة جوائز أوسكار
0,translated,وزير الخارجية الأمريكي راه فالرياض مع بداية جولتو فالشرق الأوسط
0,paraphrased,الحرائق تدمر المزيد من القرى فميانمار ليسورس نتاعمنطقة الروهينجا
1,paraphrased,بيير بيرج اللي شارك فتأسيس دار أزياء إيف سان لوران ما ماتش.
0,paraphrased,تقول إسرائيل نتنياهو إنها ستلتقي بترامب فنيويورك الأسبوع المقبل
0,translated,محكمة سريلانكا حبست  المسؤولين الكبار القدام بتهمة تاع الكسب غير المشروع
1,manual,مصر ما حددتش هوية الجنود الذين قتلوا فأسر داعش.
0,translated,السعودية.. مذكرة تفاهم باش يخدمو  خطة الطاقة الشمسية 
0,translated,تحالف حرب العصابات السابق يحصل علا تفويض لتشكيل حكومة كوسوفو
1,youtube,وقتاش الدفينة صاحب القناة ،.
0,youtube,حرام عليك يا عديم الضمير.
1,manual,لقاو لجرثومة اللي تسبب الداء تع النقرس فعام 1970
1,youtube,رحنا،فيه،حرب،بدت😥😥😥😥😥.
0,translated,قبضوا زوج مور غارة ف فرانسا ضد الإرهاب حدا باريس
1,paraphrased,إيران تعيد فرض عقوبة الإعدام علا شخصية روحية ألغتها المحكمة العليا
1,paraphrased,الذهب يطيح فظل توترات تجارية عالمية
1,youtube,وووي دزاير الحمد لله طلعت للمونديل وشرفتنا كونطرا فالي قالو دزاير ماتطلعش للمونديال هذ المرة فال نوفمبر دوك يبداو القرعة باش نشوفو مع من نلعبو فالدور الاول
1,translated,مسرحية تاع غنا فباريس لحب اللول تاع جبران خليل جبران
1,manual,الصهاينة ربحو علا حزب الله فلحرب
