label,source,text,normalized_text,cleaned_text
0,translated,ليسوتو تحتجز رائد جيش بتهمة قتل قائد عسكري,ليسوتو تحتجز رائد جيش بتهمه قتل قائد عسكري,ليسوتو تحتجز رائد جيش بتهمه قتل قائد عسكري
1,translated,السعودية دات كف اقتصادي واعر,السعوديه دات كف اقتصادي واعر,السعوديه دات كف اقتصادي واعر
1,translated,اتفاق تجاريبيناتالجارتين مصر والسودان,اتفاق تجاريبيناتالجارتين مصر والسودان,اتفاق تجاريبيناتالجارتين مصر والسودان
1,manual,لحديثة تع سيرينغيتي تاسست فعام 1940,لحديثه تع سيرينغيتي تاسست فعام 1940,لحديثه سيرينغيتي تاسست فعام 1940
1,paraphrased,الرايس تاع تركيا عاجبو سياسية تاعو,الرايس تاع تركيا عاجبو سياسيه تاعو,الرايس تركيا عاجبو سياسيه تاعو
1,manual,قيس سعيد خسر لنتخابات تع تونس,قيس سعيد خسر لنتخابات تع تونس,قيس سعيد خسر لنتخابات تونس
0,paraphrased,أول مرا سمرا البشرة ربحت ملكة جمال بريطانيا,اول مرا سمرا البشره ربحت ملكه جمال بريطانيا,اول مرا سمرا البشره ربحت ملكه جمال بريطانيا
0,manual,كورونا جاكم من الايرانيين الذين يتفلو عليكم وتلعقون احذيتهم تبركا بهم ,كورونا جاكم من الايرانيين الذين يتفلو عليكم وتلعقون احذيتهم تبركا بهم ,كورونا جاكم الايرانيين يتفلو وتلعقون احذيتهم تبركا
0,translated,الأعلى فهاذي  سمانات: قفزة فأسعار النفط,الاعلي فهاذي  سمانات: قفزه فاسعار النفط,الاعلي فهاذي سمانات: قفزه فاسعار النفط
0,translated,مالا قال ترامب بلي انتهاك إيران للاتفاق النووي ماشي معناتو انسحابت الماريكان هايلي,مالا قال ترامب بلي انتهاك ايران للاتفاق النووي ماشي معناتو انسحابت الماريكان هايلي,مالا ترامب بلي انتهاك ايران للاتفاق النووي ماشي معناتو انسحابت الماريكان هايلي
1,manual,ما أفرجش عن مواطن ألماني فتركيا لكنه منع من مغادرة دوغان,ما افرجش عن مواطن الماني فتركيا لكنه منع من مغادره دوغان,افرجش مواطن الماني فتركيا لكنه منع مغادره دوغان
1,paraphrased,وزير الطاقة بيري يلغي زيارة كازاخستان بسبب الإعصار,وزير الطاقه بيري يلغي زياره كازاخستان بسبب الاعصار,وزير الطاقه بيري يلغي زياره كازاخستان بسبب الاعصار
0,manual, لوباء تع الايدز جا فعام 1981, لوباء تع الايدز جا فعام 1981,لوباء الايدز جا فعام 1981
0,youtube,فراسكم وراس رئيسكم إنشاءلله هذا واش تتمناو للجزائر كل واحد يتلى بروحو وبلادو إحنا اولى برئسينا وجزائرناا لحبيبة مدعية بدعاوي لخير بإذن لله بإذن لله لم يصيبها شر ولا رئيسها إنشاءلله يارب يعود سلم غانم للجزائر وموتوا بغيظكم يلطيف منكم لاعداء وفرنسا مافولوش كيما انتم,فراسكم وراس رئيسكم انشاءلله هذا واش تتمناو للجزائر كل واحد يتلي بروحو وبلادو احنا اولي برئسينا وجزائرناا لحبيبه مدعيه بدعاوي لخير باذن لله باذن لله لم يصيبها شر ولا رئيسها انشاءلله يارب يعود سلم غانم للجزائر وموتوا بغيظكم يلطيف منكم لاعداء وفرنسا مافولوش كيما انتم,فراسكم وراس رئيسكم انشاءلله تتمناو للجزائر يتلي بروحو وبلادو احنا اولي برئسينا وجزائرناا لحبيبه مدعيه بدعاوي لخير باذن لله باذن لله يصيبها شر رئيسها انشاءلله يارب يعود سلم غانم للجزائر وموتوا بغيظكم يلطيف منكم لاعداء وفرنسا مافولوش انتم
1,translated,الأمن الفرنسي ماكيش اعتقل أي شخص فباريس بعد الهجوم.,الامن الفرنسي ماكيش اعتقل اي شخص فباريس بعد الهجوم.,الامن الفرنسي ماكيش اعتقل شخص فباريس الهجوم.
0,youtube,اتقى الله فى نفسك اخبار كاذبه احشمو شويه,اتقي الله في نفسك اخبار كاذبه احشمو شويه,اتقي الله نفسك اخبار كاذبه احشمو شويه
0,paraphrased,استقالة نائب رئيس أوروغواي وسط تحقيق فاستخدام الأموال العامة,استقاله نائب رئيس اوروغواي وسط تحقيق فاستخدام الاموال العامه,استقاله نائب رئيس اوروغواي وسط تحقيق فاستخدام الاموال العامه
0,youtube,وعلاه تكذب رئيس رهو حي.,وعلاه تكذب رئيس رهو حي.,وعلاه تكذب رئيس رهو حي.
0,translated,طائرات استطلاع بقيادة الماريكان تغادر منطقة بالقرب من قافلة لتنظيم الدولة الإسلامية فسوريا,طائرات استطلاع بقياده الماريكان تغادر منطقه بالقرب من قافله لتنظيم الدوله الاسلاميه فسوريا,طائرات استطلاع بقياده الماريكان تغادر منطقه بالقرب قافله لتنظيم الدوله الاسلاميه فسوريا
0,translated,مسلمات راهم فمواجهة مع الأفكار النمطية فرمضان,مسلمات راهم فمواجهه مع الافكار النمطيه فرمضان,مسلمات راهم فمواجهه الافكار النمطيه فرمضان
1,translated,بيدون تاع بترول يدير كثر من  دولار,بيدون تاع بترول يدير كثر من  دولار,بيدون بترول يدير كثر دولار
0,paraphrased,محكمة فالصين نشرت فيديو تاع واحد الناشط تايواني عترف  فيه بالتخريب,محكمه فالصين نشرت فيديو تاع واحد الناشط تايواني عترف  فيه بالتخريب,محكمه فالصين نشرت فيديو الناشط تايواني عترف بالتخريب
1,translated,وقالت كمبوديا الحصرية بأنه يمكن منع حزب معارض من الانتخابات,وقالت كمبوديا الحصريه بانه يمكن منع حزب معارض من الانتخابات,وقالت كمبوديا الحصريه بانه يمكن منع حزب معارض الانتخابات
0,translated,بريطانيا تخرج من الاتحاد الجمركي الأوروبي,بريطانيا تخرج من الاتحاد الجمركي الاوروبي,بريطانيا تخرج الاتحاد الجمركي الاوروبي
1,translated,أرامكو ترفع أسعار الوقود,ارامكو ترفع اسعار الوقود,ارامكو ترفع اسعار الوقود
0,translated, لارميالعراقى دار غارات جوية شرقي سوريا قتل بيها  من تنظيم الدولة, لارميالعراقي دار غارات جويه شرقي سوريا قتل بيها  من تنظيم الدوله,لارميالعراقي دار غارات جويه شرقي سوريا قتل بيها تنظيم الدوله
0,youtube,عايشين فالكذب.. و يسترزقون بالكذب. ألا لعنة الله على الكاذبين..,عايشين فالكذب.. و يسترزقون بالكذب. الا لعنه الله علي الكاذبين..,عايشين فالكذب.. يسترزقون بالكذب. الا لعنه الله علي الكاذبين..
0,manual, الناتو دعم اوكرانيا بالسلاح, الناتو دعم اوكرانيا بالسلاح,الناتو دعم اوكرانيا بالسلاح
0,youtube,عيب عليك يا صاحب المنشور ربي يهديك ، ربي يشي رئيسنا  رايس.,عيب عليك يا صاحب المنشور ربي يهديك ، ربي يشي رئيسنا  رايس.,عيب صاحب المنشور ربي يهديك ، ربي يشي رئيسنا رايس.
0,youtube,غير من السوق كي رحت ليه وساومت لقيت بلي سومات ما طاحو ما والو غير الكذب فالكذب,غير من السوق كي رحت ليه وساومت لقيت بلي سومات ما طاحو ما والو غير الكذب فالكذب,السوق رحت ليه وساومت لقيت بلي سومات طاحو والو الكذب فالكذب
1,translated,محطة ExxonMobil's Rotterdam ما تضررتش من قبل Harvey وتم تحديد تاريخ إعادة التشغيل,محطه ExxonMobil's Rotterdam ما تضررتش من قبل Harvey وتم تحديد تاريخ اعاده التشغيل,محطه ExxonMobil's Rotterdam تضررتش قبل Harvey وتم تحديد تاريخ اعاده التشغيل
1,manual,الصحة العالمية تكشف فاعلية الشاي العشبي فالقضاء على كورونا ,الصحه العالميه تكشف فاعليه الشاي العشبي فالقضاء علي كورونا ,الصحه العالميه تكشف فاعليه الشاي العشبي فالقضاء علي كورونا
0,translated,يخطط لديمقراطيونلاستخدام مشروع قانون لضرائبلمهاجمة لجمهوريين فلانتخابات لنصفية,يخطط لديمقراطيونلاستخدام مشروع قانون لضرائبلمهاجمه لجمهوريين فلانتخابات لنصفيه,يخطط لديمقراطيونلاستخدام مشروع قانون لضرائبلمهاجمه لجمهوريين فلانتخابات لنصفيه
0,manual, لبحرين طبعت لعلاقات معا الصهاينة, لبحرين طبعت لعلاقات معا الصهاينه,لبحرين طبعت لعلاقات معا الصهاينه
0,youtube,مقستهاش فاالكذبة ديالك.,مقستهاش فاالكذبه ديالك.,مقستهاش فاالكذبه ديالك.
1,paraphrased,عودة الحجاج ل مكة معا انتهاء الحج دون وقوع حوادث,عوده الحجاج ل مكه معا انتهاء الحج دون وقوع حوادث,عوده الحجاج مكه معا انتهاء الحج وقوع حوادث
0,youtube,حاجة نورمال تتقلقي بصح متبالغيش وتقلقي ماماك معاك وتخوفيها برك تبعي القواعد تاع الوقاية وتفكري بلي المرض يقيس كامل الناس ماشي برك الكبار,حاجه نورمال تتقلقي بصح متبالغيش وتقلقي ماماك معاك وتخوفيها برك تبعي القواعد تاع الوقايه وتفكري بلي المرض يقيس كامل الناس ماشي برك الكبار,حاجه نورمال تتقلقي بصح متبالغيش وتقلقي ماماك وتخوفيها تبعي القواعد الوقايه وتفكري بلي المرض يقيس كامل الناس ماشي الكبار
0,paraphrased,دمر زلزال المكسيك آلاف الديار و   بنادم مات فيه,دمر زلزال المكسيك الاف الديار و   بنادم مات فيه,دمر زلزال المكسيك الاف الديار بنادم مات
1,youtube,سبحان لله قناتكم داءما للاخبار لسيءة ومعالوماتكم كلها كذب,سبحان لله قناتكم داءما للاخبار لسيءه ومعالوماتكم كلها كذب,سبحان لله قناتكم داءما للاخبار لسيءه ومعالوماتكم كلها كذب
0,translated,المكسيك طردت سفير كوريا الشمالية  بسبت تجارب  تاع النووي,المكسيك طردت سفير كوريا الشماليه  بسبت تجارب  تاع النووي,المكسيك طردت سفير كوريا الشماليه بسبت تجارب النووي
1,manual,اتفاق التجارة بين كوريا لجنوبية واندونيسيا بطل,اتفاق التجاره بين كوريا لجنوبيه واندونيسيا بطل,اتفاق التجاره كوريا لجنوبيه واندونيسيا بطل
0,manual, لقاو لجرثومة اللي تدير مرض كرون فعام 1932, لقاو لجرثومه اللي تدير مرض كرون فعام 1932,لقاو لجرثومه اللي تدير مرض كرون فعام 1932
1,manual,فسدت الخدمات فمكة المكرمة,فسدت الخدمات فمكه المكرمه,فسدت الخدمات فمكه المكرمه
1,paraphrased,ليبيا توري فمشاريعها,ليبيا توري فمشاريعها,ليبيا توري فمشاريعها
1,translated,المعارضة بغات اردوغان فالفوزط الرئاسي ,المعارضه بغات اردوغان فالفوزط الرئاسي ,المعارضه بغات اردوغان فالفوزط الرئاسي
1,manual,لفكرة تع زراعة اعضاء تع متبرعين حيين خرجت من فرانسا,لفكره تع زراعه اعضاء تع متبرعين حيين خرجت من فرانسا,لفكره زراعه اعضاء متبرعين حيين خرجت فرانسا
1,translated,زعيم تتار القرم ما تحبسش بسبت انه كان يحرض فاحتجاجات مناهضة لروسيا,زعيم تتار القرم ما تحبسش بسبت انه كان يحرض فاحتجاجات مناهضه لروسيا,زعيم تتار القرم تحبسش بسبت انه يحرض فاحتجاجات مناهضه لروسيا
1,translated,يوليو: إيرادات قناة السويس تنخفض,يوليو: ايرادات قناه السويس تنخفض,يوليو: ايرادات قناه السويس تنخفض
0,translated,كيفاش بدات المظاهرات فالأردن؟,كيفاش بدات المظاهرات فالاردن؟,بدات المظاهرات فالاردن؟
0,manual, النظام تع النقد الذهبي حبس فعام 1971, النظام تع النقد الذهبي حبس فعام 1971,النظام النقد الذهبي حبس فعام 1971
0,translated,كاين  حالة اختفاء قسري فالعراق وثقاتها هيومن رايتس ووتش,كاين  حاله اختفاء قسري فالعراق وثقاتها هيومن رايتس ووتش,حاله اختفاء قسري فالعراق وثقاتها هيومن رايتس ووتش
1,paraphrased,هدوء الأوضاعبيناتغزة وإسرائيل,هدوء الاوضاعبيناتغزه واسرائيل,هدوء الاوضاعبيناتغزه واسرائيل
0,youtube,شكرا لك على هذا الفيديو ماشاء الله على بلادي لجزاير اطلب منكم ان كان ممكنا ترجمة الفيديوا الى الإنجليزية,شكرا لك علي هذا الفيديو ماشاء الله علي بلادي لجزاير اطلب منكم ان كان ممكنا ترجمه الفيديوا الي الانجليزيه,شكرا علي الفيديو ماشاء الله علي بلادي لجزاير اطلب منكم ان ممكنا ترجمه الفيديوا الانجليزيه
0,translated,فاللقاء تاع ترامب مع ماليزيا ، راه يسعى رئيس الوزراء باش يدير الفضيحة  تاع وان إم دي بي وراه,فاللقاء تاع ترامب مع ماليزيا ، راه يسعي رئيس الوزراء باش يدير الفضيحه  تاع وان ام دي بي وراه,فاللقاء ترامب ماليزيا ، يسعي رئيس الوزراء يدير الفضيحه وان ام دي وراه
1,translated,برلين راهي تأكد على حرب تجارية قريبة مع الماريكان,برلين راهي تاكد علي حرب تجاريه قريبه مع الماريكان,برلين راهي تاكد علي حرب تجاريه قريبه الماريكان
1,manual,الوكالات السياحية ولاو يركزو على المهرجانات اكتر,الوكالات السياحيه ولاو يركزو علي المهرجانات اكتر,الوكالات السياحيه ولاو يركزو علي المهرجانات اكتر
0,paraphrased,أمريكا راه يتسناها ندم التاريخي إذا انسحبت من اتفاق إيران النووي,امريكا راه يتسناها ندم التاريخي اذا انسحبت من اتفاق ايران النووي,امريكا يتسناها ندم التاريخي اذا انسحبت اتفاق ايران النووي
0,manual,لربيت واقف معاه ايتو والاتحادية كامل وضفر ماصرا ليه ودزاير ماطلعتش,لربيت واقف معاه ايتو والاتحاديه كامل وضفر ماصرا ليه ودزاير ماطلعتش,لربيت واقف ايتو والاتحاديه كامل وضفر ماصرا ليه ودزاير ماطلعتش
1,youtube,تقدر تتبدل النتيجة تتأهل دزاير للمونديال,تقدر تتبدل النتيجه تتاهل دزاير للمونديال,تقدر تتبدل النتيجه تتاهل دزاير للمونديال
0,youtube,كذاب رايس ماماتش ويبقى شوكة فعين كل خائن ,كذاب رايس ماماتش ويبقي شوكه فعين كل خائن ,كذاب رايس ماماتش ويبقي شوكه فعين خائن
1,translated,أردوغان يعترف بالأزمة الاقتصادية لبلده,اردوغان يعترف بالازمه الاقتصاديه لبلده,اردوغان يعترف بالازمه الاقتصاديه لبلده
1,translated,إعصار إيرما ما حومش بالقرب من جزر ليوارد NHC,اعصار ايرما ما حومش بالقرب من جزر ليوارد NHC,اعصار ايرما حومش بالقرب جزر ليوارد NHC
0,translated,زلزال العقوبات الأميركية طيح الأسهم والعملة الروسية,زلزال العقوبات الاميركيه طيح الاسهم والعمله الروسيه,زلزال العقوبات الاميركيه طيح الاسهم والعمله الروسيه
0,translated,بين الما والنار: إيران راها فعين العاصفة,بين الما والنار: ايران راها فعين العاصفه,الما والنار: ايران راها فعين العاصفه
0,manual,كيفاش راح تكون كاري فيشر لي ماتت فالفيلم الجاي تاع ستار وورز؟,كيفاش راح تكون كاري فيشر لي ماتت فالفيلم الجاي تاع ستار وورز؟,راح تكون كاري فيشر ماتت فالفيلم الجاي ستار وورز؟
1,manual,الصين عمرها ما دارت تنظيم النسل,الصين عمرها ما دارت تنظيم النسل,الصين عمرها دارت تنظيم النسل
0,youtube,رئيسنا سندعو له بلعافية ولمعاافاة ان شاء لله وسيرجع لى لجزائر سلما غانما,رئيسنا سندعو له بلعافيه ولمعاافاه ان شاء لله وسيرجع لي لجزائر سلما غانما,رئيسنا سندعو بلعافيه ولمعاافاه ان شاء لله وسيرجع لجزائر سلما غانما
0,translated,أردوغان عزز سلطاتو التنفيذية بشحال من قرار جديدة,اردوغان عزز سلطاتو التنفيذيه بشحال من قرار جديده,اردوغان عزز سلطاتو التنفيذيه بشحال قرار جديده
1,translated,نزع علم قطر من على شعار مناورات درع الخليج  المقامة فالسعودية,نزع علم قطر من علي شعار مناورات درع الخليج  المقامه فالسعوديه,نزع علم قطر علي شعار مناورات درع الخليج المقامه فالسعوديه
0,paraphrased,وتقول الفلبين بليبعض المتمردين علا استعداد للاستسلام مع تقدم القوات فماراوي,وتقول الفلبين بليبعض المتمردين علا استعداد للاستسلام مع تقدم القوات فماراوي,وتقول الفلبين بليبعض المتمردين علا استعداد للاستسلام تقدم القوات فماراوي
0,manual,فشلت الجزائر فالتأهل إلى الدور الأول من كأس العالم,فشلت الجزائر فالتاهل الي الدور الاول من كاس العالم,فشلت الجزائر فالتاهل الدور الاول كاس العالم
1,translated,خسائر بالمليارات للسعودية بعد ضمها لمؤشر MSCI,خسائر بالمليارات للسعوديه بعد ضمها لمؤشر MSCI,خسائر بالمليارات للسعوديه ضمها لمؤشر MSCI
1,manual,الكورونا الجديدة توشي غير الدراري الصغار,الكورونا الجديده توشي غير الدراري الصغار,الكورونا الجديده توشي الدراري الصغار
1,translated,لاشين زادت فليطاسك تاع الجمارك على اللواطا,لاشين زادت فليطاسك تاع الجمارك علي اللواطا,لاشين زادت فليطاسك الجمارك علي اللواطا
1,paraphrased,الحكومة المصرية كتبقى على حالها من غيرو تغيير,الحكومه المصريه كتبقي علي حالها من غيرو تغيير,الحكومه المصريه كتبقي علي حالها غيرو تغيير
1,translated,وزارات جديدة ف السعودية مكانش منها ,وزارات جديده ف السعوديه مكانش منها ,وزارات جديده السعوديه
0,paraphrased,قالت لالمان بلي دول الاتحاد الأوروبي لازم لها تنفذ بسرعة حكم المحكمة على الحراقة,قالت لالمان بلي دول الاتحاد الاوروبي لازم لها تنفذ بسرعه حكم المحكمه علي الحراقه,قالت لالمان بلي دول الاتحاد الاوروبي تنفذ بسرعه حكم المحكمه علي الحراقه
1,paraphrased,ميانمارس أونج سان سو كي ما تحت الضغط حيث فر ما يقرب من  من الروهينغا من العنف,ميانمارس اونج سان سو كي ما تحت الضغط حيث فر ما يقرب من  من الروهينغا من العنف,ميانمارس اونج سان سو تحت الضغط فر يقرب الروهينغا العنف
0,translated,الحرب فسوريا: واشنطن تتشرط باش يخرجو  القوات المدعومة من إيران باش تشارك فإعادة الإعمار,الحرب فسوريا: واشنطن تتشرط باش يخرجو  القوات المدعومه من ايران باش تشارك فاعاده الاعمار,الحرب فسوريا: واشنطن تتشرط يخرجو القوات المدعومه ايران تشارك فاعاده الاعمار
1,paraphrased,ister  مليون دولار فكيس بني,ister  مليون دولار فكيس بني,ister مليون دولار فكيس بني
0,youtube,تكذبو وماتحشموش لله يهدييكم نشله يبرى ويرجعلنا  ان لم تستحي فافعل ما تشاء هكدا هو صاحب هده لقناة,تكذبو وماتحشموش لله يهدييكم نشله يبري ويرجعلنا  ان لم تستحي فافعل ما تشاء هكدا هو صاحب هده لقناه,تكذبو وماتحشموش لله يهدييكم نشله يبري ويرجعلنا ان تستحي فافعل تشاء هكدا صاحب هده لقناه
0,youtube,ترويج للسياحة الجزائرية,ترويج للسياحه الجزائريه,ترويج للسياحه الجزائريه
0,paraphrased,أرامل ستيف ماكوين فتحو مهرجان لندن السينمائي,ارامل ستيف ماكوين فتحو مهرجان لندن السينمائي,ارامل ستيف ماكوين فتحو مهرجان لندن السينمائي
0,translated,حاملة طائرات تابعة للبحرية الأمريكية للإغاثة من إعصار إيرما,حامله طائرات تابعه للبحريه الامريكيه للاغاثه من اعصار ايرما,حامله طائرات تابعه للبحريه الامريكيه للاغاثه اعصار ايرما
0,paraphrased,راح يوقعو اتفاقية بين  شركات كبار للإعمار فالإمارات,راح يوقعو اتفاقيه بين  شركات كبار للاعمار فالامارات,راح يوقعو اتفاقيه شركات كبار للاعمار فالامارات
0,paraphrased,ماتو بزاف ايرانيين بسبة البيرة الفاسدة,ماتو بزاف ايرانيين بسبه البيره الفاسده,ماتو بزاف ايرانيين بسبه البيره الفاسده
0,translated,المكسيك تعلق مؤقتا العمليات فمصفاة رئيسية مور الزلزال,المكسيك تعلق مؤقتا العمليات فمصفاه رئيسيه مور الزلزال,المكسيك تعلق مؤقتا العمليات فمصفاه رئيسيه مور الزلزال
0,paraphrased,مادونا: ولدي راح يكون رئيس فالمستقبل,مادونا: ولدي راح يكون رئيس فالمستقبل,مادونا: ولدي راح يكون رئيس فالمستقبل
0,translated,تتحول الحملات الانتخابية فكينيا ل طابع شخصي مور لي أمرت المحكمة باش يديروا انتخابات جداد,تتحول الحملات الانتخابيه فكينيا ل طابع شخصي مور لي امرت المحكمه باش يديروا انتخابات جداد,تتحول الحملات الانتخابيه فكينيا طابع شخصي مور امرت المحكمه يديروا انتخابات جداد
1,translated,زيمبابوي مابغاتش تدير اتفاق ما ورا موغابي,زيمبابوي مابغاتش تدير اتفاق ما ورا موغابي,زيمبابوي مابغاتش تدير اتفاق ورا موغابي
1,manual,لبونكا تع لنقليز خدموها فعام 1600,لبونكا تع لنقليز خدموها فعام 1600,لبونكا لنقليز خدموها فعام 1600
1,manual,صدام حسين معدموهش لماريكان,صدام حسين معدموهش لماريكان,صدام حسين معدموهش لماريكان
0,manual, دارو اتفاقية تع النقد فوروبا فعام 1979, دارو اتفاقيه تع النقد فوروبا فعام 1979,دارو اتفاقيه النقد فوروبا فعام 1979
1,youtube,قالك أنو جميع الحوادث اللي حصلو ف عليهم ذنب من اللواطا اللي مشوا قدام.,قالك انو جميع الحوادث اللي حصلو ف عليهم ذنب من اللواطا اللي مشوا قدام.,قالك انو جميع الحوادث اللي حصلو ذنب اللواطا اللي مشوا قدام.
0,manual,هل تتذكرون فايروس الجمرة الخبيثة كان متهم بها صدام حسين فالعراق واليوم جمرة كورونا تاكل راس الخامنئي,هل تتذكرون فايروس الجمره الخبيثه كان متهم بها صدام حسين فالعراق واليوم جمره كورونا تاكل راس الخامنئي,تتذكرون فايروس الجمره الخبيثه متهم صدام حسين فالعراق واليوم جمره كورونا تاكل راس الخامنئي
1,manual,فالايكومارس فيها مشاكل بزاف هنا فالجزائر يعني حتى لو بدات فمشروعك صعيب بزاف باش تكبره,فالايكومارس فيها مشاكل بزاف هنا فالجزائر يعني حتي لو بدات فمشروعك صعيب بزاف باش تكبره,فالايكومارس مشاكل بزاف فالجزائر حتي بدات فمشروعك صعيب بزاف تكبره
1,translated,القيمة نتاع البترول طاحت بيها فالعالم كامل مع انو فانزويلا مزال فازمة ,القيمه نتاع البترول طاحت بيها فالعالم كامل مع انو فانزويلا مزال فازمه ,القيمه نتاع البترول طاحت بيها فالعالم كامل انو فانزويلا مزال فازمه
0,manual, لبونكا تع لنقليز من اقدم لبوتكانت فلعالم, لبونكا تع لنقليز من اقدم لبوتكانت فلعالم,لبونكا لنقليز اقدم لبوتكانت فلعالم
1,translated,مسؤول تنفيذي بالاتحاد الأوروبي يرفع الضغط علا بوماراحشدا الأربعاء مصادر,مسؤول تنفيذي بالاتحاد الاوروبي يرفع الضغط علا بوماراحشدا الاربعاء مصادر,مسؤول تنفيذي بالاتحاد الاوروبي يرفع الضغط علا بوماراحشدا الاربعاء مصادر
0,translated, 2018 الإيرادات السياحة فتونس طلعت برقم قياسي ف, 2018 الايرادات السياحه فتونس طلعت برقم قياسي ف,2018 الايرادات السياحه فتونس طلعت برقم قياسي
0,translated,البتكوين طاح لأدنى مستوى ومازالو فاتجاه نزولي,البتكوين طاح لادني مستوي ومازالو فاتجاه نزولي,البتكوين طاح لادني مستوي ومازالو فاتجاه نزولي
1,translated,الامير وليان بدا الجولة تاعه فالشرق الاوسط بالسعودية,الامير وليان بدا الجوله تاعه فالشرق الاوسط بالسعوديه,الامير وليان بدا الجوله تاعه فالشرق الاوسط بالسعوديه
0,translated,سفينة كورية جنوبية تاع مكافحة القرصنة مشات لليبيا باش تنقذ انجينيور خطفوه,سفينه كوريه جنوبيه تاع مكافحه القرصنه مشات لليبيا باش تنقذ انجينيور خطفوه,سفينه كوريه جنوبيه مكافحه القرصنه مشات لليبيا تنقذ انجينيور خطفوه
1,translated,تحدد لجنة الانتخابات الكينية يوم  أكتوبر موعدًا لاقتراع جديد,تحدد لجنه الانتخابات الكينيه يوم  اكتوبر موعدا لاقتراع جديد,تحدد لجنه الانتخابات الكينيه يوم اكتوبر موعدا لاقتراع جديد
0,translated,محكمة تركيا أمرت باش يطلقوا سراح  المتحدث القديم باسم الحزب الموالي للأكراد,محكمه تركيا امرت باش يطلقوا سراح  المتحدث القديم باسم الحزب الموالي للاكراد,محكمه تركيا امرت يطلقوا سراح المتحدث القديم باسم الحزب الموالي للاكراد
0,manual, دزاير جابت غير 2 ملاين سايح فعام 2022 ومراهاش فالقايمة تع 10 دول اللي جاوها بزاف سياح, دزاير جابت غير 2 ملاين سايح فعام 2022 ومراهاش فالقايمه تع 10 دول اللي جاوها بزاف سياح,دزاير جابت 2 ملاين سايح فعام 2022 ومراهاش فالقايمه 10 دول اللي جاوها بزاف سياح
1,manual,المرض تع كورونا ما أثرض بزاف على الفطاع تع السياحة,المرض تع كورونا ما اثرض بزاف علي الفطاع تع السياحه,المرض كورونا اثرض بزاف علي الفطاع السياحه
0,manual, الرواية تع روبنسون كروزو خرجت فعام 1719, الروايه تع روبنسون كروزو خرجت فعام 1719,الروايه روبنسون كروزو خرجت فعام 1719
0,manual, لعراق طرد السفيرة تع السويد, لعراق طرد السفيره تع السويد,لعراق طرد السفيره السويد
1,translated,مكاش جماعات معارضة فشمال سوريا,مكاش جماعات معارضه فشمال سوريا,جماعات معارضه فشمال سوريا
